Form Name,Address,Address Image Link,Trust or Business,Trust or Business Image Link,Market Value,Market Value Image Link,Date Acquired,Date Acquired Image Link,Date Disposed,Date Disposed Image Link,Position,Position Image Link,Gross Income Received,Gross Income Received Image Link,Name of Business or Parcel Address,Name of Business or Parcel Address Image Link,Description or City & Other Address,Description or City & Other Address Image Link,Nature of Interest,Nature of Interest Image Link,Lease Yrs Remaining,Lease Yrs Remaining Image Link,Other Description,Other Description Image Link,Additional Schedules,Additional Schedules Image Link,Form Name Image Link,Name,Name Image Link,Description,Description Image Link,Nature of Investment,Nature of Investment Image Link,Other,Other Image Link,"Name(s) Single Source Income >$100,000","Name(s) Single Source Income >$100,000 Image Link",Investment Type,Investment Type Image Link,Fair Market Value,Fair Market Value Image Link,Name of Business,Name of Business Image Link,Description of Business,Description of Business Image Link,"Name(s) of Single Source Income >$10,000","Name(s) of Single Source Income >$10,000 Image Link",Investment or Real Property,Investment or Real Property Image Link,Comments,Comments Image Link
R_Zuniga_Barbara-page4.pdf,--blank--,https://shreddr.captricity.com/api/v1/shred/3802361/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802318/image,Over $1000000,https://shreddr.captricity.com/api/v1/shred/3802359/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802358/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802357/image,officer/owner,https://shreddr.captricity.com/api/v1/shred/3802354/image,$10001 - $100000,https://shreddr.captricity.com/api/v1/shred/3802353/image,Parcels 470-0-181-300,https://shreddr.captricity.com/api/v1/shred/3802351/image,"670-0-151-310 
THUSAND QAKS, CA",https://shreddr.captricity.com/api/v1/shred/3802350/image,Property Ownership/ Deed of Trust,https://shreddr.captricity.com/api/v1/shred/3802346/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802345/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802344/image,No,https://shreddr.captricity.com/api/v1/shred/3802343/image,https://shreddr.captricity.com/api/v1/instance/218688/aligned-image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802362/image,Restaurant,https://shreddr.captricity.com/api/v1/shred/3802360/image,Other,https://shreddr.captricity.com/api/v1/shred/3802356/image,OWNER,https://shreddr.captricity.com/api/v1/shred/3802355/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802316/image,Real Property,https://shreddr.captricity.com/api/v1/shred/3802352/image,$100001 - $1000000,https://shreddr.captricity.com/api/v1/shred/3802349/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802342/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802339/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802313/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802331/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802319/image
R_Zuniga_Barbara-page4.pdf,--blank--,https://shreddr.captricity.com/api/v1/shred/3802341/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802340/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802338/image,11,https://shreddr.captricity.com/api/v1/shred/3802337/image,11,https://shreddr.captricity.com/api/v1/shred/3802336/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802333/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802332/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802330/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802329/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802335/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802324/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802334/image,No,https://shreddr.captricity.com/api/v1/shred/3802321/image,https://shreddr.captricity.com/api/v1/instance/218688/aligned-image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802362/image,Restaurant,https://shreddr.captricity.com/api/v1/shred/3802360/image,Other,https://shreddr.captricity.com/api/v1/shred/3802356/image,OWNER,https://shreddr.captricity.com/api/v1/shred/3802355/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802316/image,Real Property,https://shreddr.captricity.com/api/v1/shred/3802352/image,$100001 - $1000000,https://shreddr.captricity.com/api/v1/shred/3802349/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802342/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802339/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802313/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802331/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802319/image
R_Zuniga_Barbara-page2.pdf,--blank--,https://shreddr.captricity.com/api/v1/shred/3802320/image,Business Entity,https://shreddr.captricity.com/api/v1/shred/3802275/image,$10001 - $100000,https://shreddr.captricity.com/api/v1/shred/3802315/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802314/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802312/image,partner,https://shreddr.captricity.com/api/v1/shred/3802309/image,$0 - $499,https://shreddr.captricity.com/api/v1/shred/3802308/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802306/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802305/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802301/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802300/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802299/image,No,https://shreddr.captricity.com/api/v1/shred/3802298/image,https://shreddr.captricity.com/api/v1/instance/218691/aligned-image,TSE enterprises of THOUSAND,https://shreddr.captricity.com/api/v1/shred/3802322/image,Real Estate Holdings/Reat College,https://shreddr.captricity.com/api/v1/shred/3802317/image,Partnership,https://shreddr.captricity.com/api/v1/shred/3802311/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802310/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802274/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802307/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802304/image,THOUSANDS Laks,https://shreddr.captricity.com/api/v1/shred/3802297/image,COLLECTION,https://shreddr.captricity.com/api/v1/shred/3802294/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802273/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802286/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802276/image
R_Zuniga_Barbara-page2.pdf,--blank--,https://shreddr.captricity.com/api/v1/shred/3802296/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802295/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802293/image,11,https://shreddr.captricity.com/api/v1/shred/3802292/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802291/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802288/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802287/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802285/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802284/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802290/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802279/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802289/image,No,https://shreddr.captricity.com/api/v1/shred/3802277/image,https://shreddr.captricity.com/api/v1/instance/218691/aligned-image,TSE enterprises of THOUSAND,https://shreddr.captricity.com/api/v1/shred/3802322/image,Real Estate Holdings/Reat College,https://shreddr.captricity.com/api/v1/shred/3802317/image,Partnership,https://shreddr.captricity.com/api/v1/shred/3802311/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802310/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802274/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802307/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802304/image,THOUSANDS Laks,https://shreddr.captricity.com/api/v1/shred/3802297/image,COLLECTION,https://shreddr.captricity.com/api/v1/shred/3802294/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802273/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802286/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802276/image
R_Zelon_Laurie_D-page6.pdf,"18201 VON KARMAN AVE., IRVINE CA 92612",https://shreddr.captricity.com/api/v1/shred/3802271/image,Business Entity,https://shreddr.captricity.com/api/v1/shred/3802230/image,$100001 - $1000000,https://shreddr.captricity.com/api/v1/shred/3802269/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802268/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802267/image,Community Property Interest,https://shreddr.captricity.com/api/v1/shred/3802264/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802263/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802261/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802260/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802256/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802255/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802254/image,No,https://shreddr.captricity.com/api/v1/shred/3802253/image,https://shreddr.captricity.com/api/v1/instance/218694/aligned-image,Wealth Management Group LLP,https://shreddr.captricity.com/api/v1/shred/3802272/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802270/image,Other,https://shreddr.captricity.com/api/v1/shred/3802266/image,Spouse Partnership,https://shreddr.captricity.com/api/v1/shred/3802265/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802229/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802262/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802259/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802252/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802249/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802228/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802241/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802231/image
R_Zelon_Laurie_D-page6.pdf,--blank--,https://shreddr.captricity.com/api/v1/shred/3802251/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802250/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802248/image,11,https://shreddr.captricity.com/api/v1/shred/3802247/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802246/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802243/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802242/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802240/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802239/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802245/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802234/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802244/image,No,https://shreddr.captricity.com/api/v1/shred/3802232/image,https://shreddr.captricity.com/api/v1/instance/218694/aligned-image,Wealth Management Group LLP,https://shreddr.captricity.com/api/v1/shred/3802272/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802270/image,Other,https://shreddr.captricity.com/api/v1/shred/3802266/image,Spouse Partnership,https://shreddr.captricity.com/api/v1/shred/3802265/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802229/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802262/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802259/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802252/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802249/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802228/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802241/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802231/image
R_Zeff_Thomas_D-page17.pdf,--blank--,https://shreddr.captricity.com/api/v1/shred/3802226/image,Business Entity,https://shreddr.captricity.com/api/v1/shred/3802185/image,$100001 - $1000000,https://shreddr.captricity.com/api/v1/shred/3802224/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802223/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802222/image,Partner,https://shreddr.captricity.com/api/v1/shred/3802219/image,$10001 - $100000,https://shreddr.captricity.com/api/v1/shred/3802218/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802216/image,Commercial Office,https://shreddr.captricity.com/api/v1/shred/3802215/image,Partnership,https://shreddr.captricity.com/api/v1/shred/3802211/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802210/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802209/image,No,https://shreddr.captricity.com/api/v1/shred/3802208/image,https://shreddr.captricity.com/api/v1/instance/218697/aligned-image,14th & K Partnership,https://shreddr.captricity.com/api/v1/shred/3802227/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802225/image,Partnership,https://shreddr.captricity.com/api/v1/shred/3802221/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802220/image,Listed on Attached Sheet,https://shreddr.captricity.com/api/v1/shred/3802184/image,Real Property,https://shreddr.captricity.com/api/v1/shred/3802217/image,$100001 - $1000000,https://shreddr.captricity.com/api/v1/shred/3802214/image,"McHenry Avenue Properties, LLP",https://shreddr.captricity.com/api/v1/shred/3802207/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802204/image,"GMG properties, coach repair, frank bavarro",https://shreddr.captricity.com/api/v1/shred/3802183/image,Real Property,https://shreddr.captricity.com/api/v1/shred/3802196/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802186/image
R_Zeff_Thomas_D-page17.pdf,--blank--,https://shreddr.captricity.com/api/v1/shred/3802206/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802205/image,$100001 - $1000000,https://shreddr.captricity.com/api/v1/shred/3802203/image,11,https://shreddr.captricity.com/api/v1/shred/3802202/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802201/image,Spouse is limited partner,https://shreddr.captricity.com/api/v1/shred/3802198/image,$10001 - $100000,https://shreddr.captricity.com/api/v1/shred/3802197/image,"McHenry Avenue Properties,LLP",https://shreddr.captricity.com/api/v1/shred/3802195/image,Rental Property - Farm/Commercial,https://shreddr.captricity.com/api/v1/shred/3802194/image,Other,https://shreddr.captricity.com/api/v1/shred/3802200/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802189/image,LLP,https://shreddr.captricity.com/api/v1/shred/3802199/image,No,https://shreddr.captricity.com/api/v1/shred/3802187/image,https://shreddr.captricity.com/api/v1/instance/218697/aligned-image,14th & K Partnership,https://shreddr.captricity.com/api/v1/shred/3802227/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802225/image,Partnership,https://shreddr.captricity.com/api/v1/shred/3802221/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802220/image,Listed on Attached Sheet,https://shreddr.captricity.com/api/v1/shred/3802184/image,Real Property,https://shreddr.captricity.com/api/v1/shred/3802217/image,$100001 - $1000000,https://shreddr.captricity.com/api/v1/shred/3802214/image,"McHenry Avenue Properties, LLP",https://shreddr.captricity.com/api/v1/shred/3802207/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802204/image,"GMG properties, coach repair, frank bavarro",https://shreddr.captricity.com/api/v1/shred/3802183/image,Real Property,https://shreddr.captricity.com/api/v1/shred/3802196/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802186/image
R_Young_Mark_A-page3.pdf,(d)(5),https://shreddr.captricity.com/api/v1/shred/3802181/image,Business Entity,https://shreddr.captricity.com/api/v1/shred/3802140/image,$100001 - $1000000,https://shreddr.captricity.com/api/v1/shred/3802179/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802178/image,11,https://shreddr.captricity.com/api/v1/shred/3802177/image,wife's law partnership,https://shreddr.captricity.com/api/v1/shred/3802174/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802173/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802171/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802170/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802166/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802165/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802164/image,No,https://shreddr.captricity.com/api/v1/shred/3802163/image,https://shreddr.captricity.com/api/v1/instance/218700/aligned-image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802182/image,Law firm,https://shreddr.captricity.com/api/v1/shred/3802180/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802176/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802175/image,See attachment 4,https://shreddr.captricity.com/api/v1/shred/3802139/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802172/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802169/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802162/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802159/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802138/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802151/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802141/image
R_Young_Mark_A-page3.pdf,--blank--,https://shreddr.captricity.com/api/v1/shred/3802161/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802160/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802158/image,11,https://shreddr.captricity.com/api/v1/shred/3802157/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802156/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802153/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802152/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802150/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802149/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802155/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802144/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802154/image,No,https://shreddr.captricity.com/api/v1/shred/3802142/image,https://shreddr.captricity.com/api/v1/instance/218700/aligned-image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802182/image,Law firm,https://shreddr.captricity.com/api/v1/shred/3802180/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802176/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802175/image,See attachment 4,https://shreddr.captricity.com/api/v1/shred/3802139/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802172/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802169/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802162/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802159/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802138/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802151/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3802141/image
