Form Name,Form Name Image Link,Last Name,Last Name Image Link,First Name,First Name Image Link,Middle,Middle Image Link,Agency Name,Agency Name Image Link,Division,Division Image Link,Position,Position Image Link,Agency (Multiple Pos),Agency (Multiple Pos) Image Link,Position,Position Image Link,Jurisdiction of Office,Jurisdiction of Office Image Link,Multi-County,Multi-County Image Link,City of,City of Image Link,County of,County of Image Link,Other,Other Image Link,Type of Statement,Type of Statement Image Link,Period start date,Period start date Image Link,Date Assumed Office,Date Assumed Office Image Link,Election Year,Election Year Image Link,Period End Date,Period End Date Image Link,"Start Date, If Leaving Office","Start Date, If Leaving Office Image Link",Office Sought (If Applicable),Office Sought (If Applicable) Image Link,Number of Pages,Number of Pages Image Link,Schedule Summary,Schedule Summary Image Link,Date Signed,Date Signed Image Link,Contact,Contact Image Link,Signature,Signature Image Link
R_Zuniga_Barbara-page3.pdf,https://shreddr.captricity.com/api/v1/instance/214513/aligned-image,Zuniga,https://shreddr.captricity.com/api/v1/shred/3657425/image,Barbara,https://shreddr.captricity.com/api/v1/shred/3657424/image,Ann,https://shreddr.captricity.com/api/v1/shred/3657423/image,Contra Costa Superior Court,https://shreddr.captricity.com/api/v1/shred/3657422/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657420/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657418/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657416/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657414/image,Judge or Court Commissioner,https://shreddr.captricity.com/api/v1/shred/3657411/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657409/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657407/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657406/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657404/image,Candidate,https://shreddr.captricity.com/api/v1/shred/3657401/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657399/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657397/image,2012,https://shreddr.captricity.com/api/v1/shred/3657395/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657394/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657391/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657388/image,6,https://shreddr.captricity.com/api/v1/shred/3657385/image,"Schedule A-2, Schedule B, Schedule C",https://shreddr.captricity.com/api/v1/shred/3657378/image,--impossible--,https://shreddr.captricity.com/api/v1/shred/3657375/image,,https://shreddr.captricity.com/api/v1/shred/3657370/image,,https://shreddr.captricity.com/api/v1/shred/3657368/image
R_Zuniga_Barbara-page1.pdf,https://shreddr.captricity.com/api/v1/instance/214515/aligned-image,Zuniga,https://shreddr.captricity.com/api/v1/shred/3657421/image,Barbara,https://shreddr.captricity.com/api/v1/shred/3657419/image,ann,https://shreddr.captricity.com/api/v1/shred/3657417/image,Contra Costa Superior Court / Judge,https://shreddr.captricity.com/api/v1/shred/3657415/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657413/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657412/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657410/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657408/image,Judge or Court Commissioner,https://shreddr.captricity.com/api/v1/shred/3657405/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657403/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657402/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657400/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657398/image,Annual,https://shreddr.captricity.com/api/v1/shred/3657392/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657389/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657387/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657384/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657383/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657381/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657379/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657376/image,"Schedule A-2, Schedule B, Schedule C",https://shreddr.captricity.com/api/v1/shred/3657373/image,2/24/2012,https://shreddr.captricity.com/api/v1/shred/3657372/image,,https://shreddr.captricity.com/api/v1/shred/3657366/image,,https://shreddr.captricity.com/api/v1/shred/3657363/image
R_Zika_Patrick_J-page1.pdf,https://shreddr.captricity.com/api/v1/instance/214518/aligned-image,Zika,https://shreddr.captricity.com/api/v1/shred/3657396/image,Patrick,https://shreddr.captricity.com/api/v1/shred/3657393/image,JOHN,https://shreddr.captricity.com/api/v1/shred/3657390/image,Superior Court of the state of California,https://shreddr.captricity.com/api/v1/shred/3657386/image,County of Alameda,https://shreddr.captricity.com/api/v1/shred/3657382/image,Judge,https://shreddr.captricity.com/api/v1/shred/3657380/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657377/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657374/image,"State, Judge or Court Commissioner, County of:",https://shreddr.captricity.com/api/v1/shred/3657371/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657369/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657367/image,Alameda,https://shreddr.captricity.com/api/v1/shred/3657365/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657364/image,Annual,https://shreddr.captricity.com/api/v1/shred/3657362/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657361/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657360/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657359/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657358/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657357/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657356/image,3,https://shreddr.captricity.com/api/v1/shred/3657355/image,"Schedule C, Schedule D",https://shreddr.captricity.com/api/v1/shred/3657354/image,2/12/2012,https://shreddr.captricity.com/api/v1/shred/3657353/image,,https://shreddr.captricity.com/api/v1/shred/3657352/image,,https://shreddr.captricity.com/api/v1/shred/3657351/image
R_Zepeda-Madrid_Carrie_A-page1.pdf,https://shreddr.captricity.com/api/v1/instance/214521/aligned-image,Zepeda-Madrid,https://shreddr.captricity.com/api/v1/shred/3657350/image,Carrie,https://shreddr.captricity.com/api/v1/shred/3657349/image,Ajimura,https://shreddr.captricity.com/api/v1/shred/3657347/image,"Superior Court of California, County of Santa Clara",https://shreddr.captricity.com/api/v1/shred/3657344/image,SANTA CLARA COUNTY,https://shreddr.captricity.com/api/v1/shred/3657343/image,Judge,https://shreddr.captricity.com/api/v1/shred/3657341/image,Santa Clara County Law Library,https://shreddr.captricity.com/api/v1/shred/3657339/image,Board Member,https://shreddr.captricity.com/api/v1/shred/3657337/image,"Judge or Court Commissioner, County of:",https://shreddr.captricity.com/api/v1/shred/3657335/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657333/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657331/image,Santa Clara,https://shreddr.captricity.com/api/v1/shred/3657329/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657327/image,Annual,https://shreddr.captricity.com/api/v1/shred/3657324/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657323/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657322/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657320/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657318/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657316/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657314/image,2,https://shreddr.captricity.com/api/v1/shred/3657312/image,Schedule A-1,https://shreddr.captricity.com/api/v1/shred/3657307/image,02-28-2012,https://shreddr.captricity.com/api/v1/shred/3657304/image,,https://shreddr.captricity.com/api/v1/shred/3657300/image,,https://shreddr.captricity.com/api/v1/shred/3657297/image
R_Zelon_Laurie_D-page1.pdf,https://shreddr.captricity.com/api/v1/instance/214526/aligned-image,Zelon,https://shreddr.captricity.com/api/v1/shred/3657348/image,Laurie,https://shreddr.captricity.com/api/v1/shred/3657346/image,Dee,https://shreddr.captricity.com/api/v1/shred/3657345/image,Court of Appeal,https://shreddr.captricity.com/api/v1/shred/3657342/image,SECOND APPELLATE DISTRICT,https://shreddr.captricity.com/api/v1/shred/3657340/image,Justice,https://shreddr.captricity.com/api/v1/shred/3657338/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657336/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657334/image,State,https://shreddr.captricity.com/api/v1/shred/3657332/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657330/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657328/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657326/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657325/image,Annual,https://shreddr.captricity.com/api/v1/shred/3657321/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657319/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657317/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657315/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657313/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657311/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657309/image,9,https://shreddr.captricity.com/api/v1/shred/3657306/image,"Schedule A-1, Schedule A-2, Schedule C, Schedule E",https://shreddr.captricity.com/api/v1/shred/3657301/image,2/21/2012,https://shreddr.captricity.com/api/v1/shred/3657298/image,,https://shreddr.captricity.com/api/v1/shred/3657294/image,,https://shreddr.captricity.com/api/v1/shred/3657293/image
R_Zeidler_Daniel_Z-page1.pdf,https://shreddr.captricity.com/api/v1/instance/214529/aligned-image,Zeidler,https://shreddr.captricity.com/api/v1/shred/3657310/image,Daniel,https://shreddr.captricity.com/api/v1/shred/3657308/image,Zeke,https://shreddr.captricity.com/api/v1/shred/3657305/image,Los Angeles Superior Court,https://shreddr.captricity.com/api/v1/shred/3657303/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657302/image,JUDGE,https://shreddr.captricity.com/api/v1/shred/3657299/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657296/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657295/image,Judge or Court Commissioner,https://shreddr.captricity.com/api/v1/shred/3657292/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657291/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657290/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657289/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657288/image,"Annual, Candidate",https://shreddr.captricity.com/api/v1/shred/3657287/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657286/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657285/image,2011,https://shreddr.captricity.com/api/v1/shred/3657284/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657283/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657282/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657281/image,2,https://shreddr.captricity.com/api/v1/shred/3657280/image,Schedule C,https://shreddr.captricity.com/api/v1/shred/3657279/image,2/21/12,https://shreddr.captricity.com/api/v1/shred/3657278/image,,https://shreddr.captricity.com/api/v1/shred/3657277/image,,https://shreddr.captricity.com/api/v1/shred/3657276/image
R_Zeff_Thomas_D-page1.pdf,https://shreddr.captricity.com/api/v1/instance/214532/aligned-image,Zeff,https://shreddr.captricity.com/api/v1/shred/3657273/image,Thomas,https://shreddr.captricity.com/api/v1/shred/3657271/image,David,https://shreddr.captricity.com/api/v1/shred/3657270/image,Stanislaus County Superior court,https://shreddr.captricity.com/api/v1/shred/3657268/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657266/image,JUDGE,https://shreddr.captricity.com/api/v1/shred/3657264/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657263/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657261/image,State,https://shreddr.captricity.com/api/v1/shred/3657259/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657258/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657256/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657254/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657252/image,Annual,https://shreddr.captricity.com/api/v1/shred/3657249/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657248/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657246/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657244/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657241/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657239/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657237/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657234/image,"Schedule A-1, Schedule A-2, Schedule B, Schedule C",https://shreddr.captricity.com/api/v1/shred/3657230/image,2/23/2012,https://shreddr.captricity.com/api/v1/shred/3657227/image,,https://shreddr.captricity.com/api/v1/shred/3657224/image,,https://shreddr.captricity.com/api/v1/shred/3657220/image
R_Zecher_Vanessa_A-page1.pdf,https://shreddr.captricity.com/api/v1/instance/214535/aligned-image,Zecher,https://shreddr.captricity.com/api/v1/shred/3657275/image,Vanessa,https://shreddr.captricity.com/api/v1/shred/3657274/image,Ann,https://shreddr.captricity.com/api/v1/shred/3657272/image,SUPERIOR COURT OF CALIFORNIA,https://shreddr.captricity.com/api/v1/shred/3657269/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657267/image,JUDGE,https://shreddr.captricity.com/api/v1/shred/3657265/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657262/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657260/image,Judge or Court Commissioner,https://shreddr.captricity.com/api/v1/shred/3657257/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657255/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657253/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657251/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657250/image,Annual,https://shreddr.captricity.com/api/v1/shred/3657247/image,01/03/2011,https://shreddr.captricity.com/api/v1/shred/3657245/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657243/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657242/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657240/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657238/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657235/image,3,https://shreddr.captricity.com/api/v1/shred/3657232/image,"Schedule B, Schedule C",https://shreddr.captricity.com/api/v1/shred/3657228/image,2/20/2012,https://shreddr.captricity.com/api/v1/shred/3657226/image,,https://shreddr.captricity.com/api/v1/shred/3657223/image,,https://shreddr.captricity.com/api/v1/shred/3657219/image
R_Zayner_Theodore_C-page1.pdf,https://shreddr.captricity.com/api/v1/instance/214538/aligned-image,Zayner,https://shreddr.captricity.com/api/v1/shred/3657236/image,THEODORE,https://shreddr.captricity.com/api/v1/shred/3657233/image,Charles,https://shreddr.captricity.com/api/v1/shred/3657231/image,"Superior Court of California, County of Santa Clara",https://shreddr.captricity.com/api/v1/shred/3657229/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657225/image,SUPERIOR COURT JUDGE,https://shreddr.captricity.com/api/v1/shred/3657222/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657221/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657218/image,Judge or Court Commissioner,https://shreddr.captricity.com/api/v1/shred/3657217/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657216/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657215/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657214/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657213/image,"Annual, Candidate",https://shreddr.captricity.com/api/v1/shred/3657212/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657211/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657210/image,2012,https://shreddr.captricity.com/api/v1/shred/3657209/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657208/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657207/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657206/image,8,https://shreddr.captricity.com/api/v1/shred/3657205/image,"Schedule A-1, Schedule A-2, Schedule C",https://shreddr.captricity.com/api/v1/shred/3657204/image,2/23/2012,https://shreddr.captricity.com/api/v1/shred/3657203/image,,https://shreddr.captricity.com/api/v1/shred/3657202/image,,https://shreddr.captricity.com/api/v1/shred/3657201/image
R_Zacky_Hayden_A-page1.pdf,https://shreddr.captricity.com/api/v1/instance/214541/aligned-image,Zacky,https://shreddr.captricity.com/api/v1/shred/3657200/image,HAYDEN,https://shreddr.captricity.com/api/v1/shred/3657199/image,A,https://shreddr.captricity.com/api/v1/shred/3657198/image,Superior Court of California,https://shreddr.captricity.com/api/v1/shred/3657196/image,COUNTY OF LOS ANGELES,https://shreddr.captricity.com/api/v1/shred/3657193/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657192/image,FOR MULTIPLE POSITIONS LIST BELOW OR ON AN ATTCHMENT,https://shreddr.captricity.com/api/v1/shred/3657190/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657188/image,"State, Judge or Court Commissioner",https://shreddr.captricity.com/api/v1/shred/3657184/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657183/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657181/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657179/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657177/image,"Annual, Candidate",https://shreddr.captricity.com/api/v1/shred/3657174/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657173/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657172/image,2012,https://shreddr.captricity.com/api/v1/shred/3657171/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657170/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657169/image,--blank--,https://shreddr.captricity.com/api/v1/shred/3657167/image,4,https://shreddr.captricity.com/api/v1/shred/3657165/image,"Schedule A-1, Schedule C",https://shreddr.captricity.com/api/v1/shred/3657161/image,2-6-12,https://shreddr.captricity.com/api/v1/shred/3657159/image,,https://shreddr.captricity.com/api/v1/shred/3657153/image,,https://shreddr.captricity.com/api/v1/shred/3657150/image
