id,last_name,first_name,middle_name,agency,division,position
0, zuniga, barbara, ann, contra costa superior court / judge, , 
1, zika, patrick, john, superior court of the state of california, county of alameda, judge
2, zepeda-madrid, carrie, ajimura, superior court of california county of santa clara, santa clara county, judge
3, zelon, laurie, dee, court of appeal, second appellate district, justice
4, zeidler, daniel, zeke, los angeles superior court, , judge
5, zeff, thomas, david, stanislaus county superior court, , judge
6, zecher, vanessa, ann, superior court of california, , judge
7, zayner, theodore, charles, superior court of california county of santa clara, , superior court judge
8, zacky, hayden, a, superior court of california, county of los angeles, 
9, yriarte, geanene, marie, los angeles superior court judge, , 
10, young, mark, a, los angeles county superior court, , judge
11, young, bruce, alan, superior court, ventura county, judge
12, yew, erica, r, california superior court, santa clara, judge
13, yep, brian, , los angeles superior court  judge, north district, 
14, yegan, kenneth, joseph a. lane, court of appeal, second appellate district division six, justice
15, yeager, christopher, w., superior court of california, county of imperial, judge
16, yaggy, carol, coates, superior court, san francisco, judge
17, yabuno, robert, glenn, san bernardino superior court, , judge
18, wright, victor, l, los angeles superior court, department o, judge
19, wright, ryan, joseph, superior court of california, county of ventura, judge
20, worley, david, robert, ventura county superior court, east county courthouse, judge
21, woolard, charlotte, walter, san francisco superior court, , judge
22, woodward, james, p., trinity county superior court, , judge
23, woodward, cory, j., superior court of california, county of kern, judge
24, woods jr., norvell, frederick (fred), court of appeal, second appellate district, justice
25, woods, margie, , san diego superior court, n/a, judge of the superior court
26, woodhouse, , derek, santa clara county superior court, , 
27, wood, gerrit, wardell, superior court state of california sacramento county, , judge
28, wong, garrett, lee, san francisco county superior court, , judge
29, wojcik, albert, john, superior court of californiacounty of riverside, southwest justice center, judge
30, wohlfeil, joel, robin, san diego superior court, n/a, judge of the superior court
31, witt, gary, ralph, superior court of california, county of kern, judge
32, wiss, mary, e., san francisco superior court, , 
33, wiseman, rebecca, ann, court of appeal 5th district associate justice, , 
34, winn, john, patrick, superior court of california, county of sacramento, judge
35, windham, mark, e, superior court, los angeles county, judge
36, wilson, peter, john, superior court orange county, , superior court judge
37, wilson jr., harold, t, superior court of california, county of san bernardino/central district, superior court judge
38, wilson, christopher, guy, humboldt county superior court, , 
39, wills, thomas, warren, monterey county superior court, , superior court judge
40, willis, browder, a, san diego superior court, n/a, judge of the superior court
41, williams, david, anthony, superior court, county of san bernardino/rancho cucamonga district, judge
42, willhite, thomas, lyle, court of appeal, second appellate district, justice
43, willett, william, g., los angeles superior court, , 
44, willett, robert, edwin, superior court, central district los angeles, judge
45, wiley, monica, f., san francisco superior court, n/a, superior court judge
46, wiley, john, shepard, los angeles superior court, , judge
47, wieland, charles, albert, madera county superior court, 8, judge
48, widdifield, melissa, noel, los angeles superior court judge, , 
49, wick, arthur, andrew, superior court of california, sonoma county, judge
50, whitney, richard, s., san diego superior court, n/a, judge of the superior court
