date, value, description, donor_id,judge_id 
05/28/11, 175.00, oakland a's ticket, 1, 1
10/14/11, 100, dinner, 2, 21
10/14/11, 50, paper weight, 2, 21
3/30/12, 50.00, gift card to bristol farms, 3, 24
10/14/11, 100.00, (2) dinner tickets, 4, 28
10/03/11, 390, 2 tickets judges dinner, 5, 32
07/27/11, 90, annual judges dinner, 6, 32
01/27/11, 120, members dinner, 7, 32
12/09/11, 395, 2 tix holiday gala &, 7, 32
, , swearing-in ceremony, 7, 32
12/13/11, 120, con't education dinner, 8, 32
4/4/11, 110.00, ocean day reception, 9, 33
02/01/11, 40, dinner @ meeting, 8, 36
03 30 11, 40, dinner @ meeting, 8, 36
04/09, 150, meals @ bd. meet, 8, 36
01/28/11, 125.00, annual judges' night, 10, 43
7/5/11, 2500, guest of the mcnally's, 11, 55
7/19/11, , at their vacation, 11, 55
, , time share., 11, 55
01/11, 74, meals, 12, 71
03 11, 20, meal, 12, 71
04/11, 66, meal, 12, 71
01/12/11, 45, meal, 13, 71
05/10/11, 45, meal, 13, 71
06 09 11, 45, meal, 13, 71
06/01/11, 438, meals lodging travel , 12, 71
09/11, 320, meals travel expenses, 12, 71
11/11, 122, meal travel expenses, 12, 71
09/20/11, 45, meal, 13, 71
09/27/11, 45, meal, 13, 71
12/06/11, 45, meal, 13, 71
1/15/11, 500.00, award dinner/lodging, 14, 82
8/25/11, 60.00, annual dinner, 14, 82
11/2/11, 150.00, free dinner for 2, 15, 87
, , for 2 @ judges night, 15, 87
5/5/11, 75, trial lawyer, 16, 87
, , dinner, 16, 87
4/17/11, 150.00, grand prix tickets and, 17, 113
, , tickets and party, 17, 113
12/13/11, 104.00, 2 free admission ticket, 18, 126
2/1/11, 100, dinner certificates, 19, 145
10/05/11, 400.00, legal services, 20, 152
10/22/11, 125.00, theater ticket, 21, 154
04/29/11, 350.00, fundraiser ticket, 22, 154
, 55.00, dinner, 8, 154
, 55.00, dinner, 8, 154
09/10/11, 130.00, hotel room/1 evening, 23, 157
10/31/11, , lunch $25.00, 24, 158
04/01/11, 75.00, annual dinner, 25, 172
09/28/11, 75.00, annual dinner, 25, 172
03/16/11, 75.00, edu. program dinner, 26, 172
11/10/11, 75.00, edu. program dinner, 26, 172
01/29/11, 1000, vacation w/their family in hawaii, 27, 183
, , family in hawaii, 27, 183
04/08/11, 3000, won a week's story for 4 in hawaii, 28, 183
, , for 4 in hawaii in rotary raffle., 28, 183
donated, , casa, 28, 183
06/09/11, 65.00, dinner, 13, 184
05/10/11, 47.50, lunch, 13, 184
11/03/11, 100.00, dinner, 29, 184
05/06/11, 55.00, lunch, 13, 184
01/20/11, 75, dinner, 2, 191
04/28/11, 125, dinner, 2, 191
10/14/11, 150, dinner, 2, 191
12/09/11, 75, lunch, 30, 191
2/24/11, 50, annual dinner, 31, 193
3/15/11, 50, community dinner, 32, 193
12/1/11, 120, restaurant gift card &, 33, 194
, , movie tickets, 33, 194
11, 100.00, 4 educational dinners, 34, 210
09/98/11, 100.00, education, 35, 211
01/27/11, 100.00, meal, 36, 211
1/28/11, 125.00, dinner, 37, 239
1/20/11, 50, dinner at annual mtg. monthly lunch, 38, 248
2/24/11, 25, monthly lunch meeting, 38, 248
4/21/11, 25, monthly lunch meeting, 38, 248
5/18/11, 25, monthly lunch meeting, 39, 248
7/20/11, 25, monthly lunch meeting, 39, 248
10/19/11, 25, monthly lunch meeting, 39, 248
, , app. 8 lunch meetings at 20.00 per, 40, 269
, , at 20.00 per lunch - app, 40, 269
, , $160.00, 40, 269
20/11, 75.00, dinner, 41, 269
12/25/11, 300, i ticket, 42, 279
, 0, no price specified for my son estimated approx value $300, 42, 279
8/6/11, 250.00, lodging/food, 43, 284
11/03/11, 75.00, judges night dinner, 44, 294
01/12/11, 50.00, installation of officers, 13, 294
05/10/11, 35.00, women lawyer lunch, 13, 294
06/09/11, 50.00, judges night dinner, 13, 294
09/27/11, 35.00, barristers lunch, 13, 294
12/06/11, 35.00, women lawyer lunch, 13, 294
10/30/11, 170.00, 2 rounds of golf, 45, 294
11/17/11, 250.00, ticket to justice rehnquist banquet, 46, 301
7/15/11, 200.00, nordstrom gift card, 47, 302
, , card, 47, 302
04/29/11, 150, dinner bakersfield cc, 48, 304
11/-/11, 35.00, dinner/swearing in, 49, 316
02/01/11, 30, dinner @ meeting, 8, 328
03/30/11, 30, dinner @ meeting, 8, 328
04/09/11, 150, meals @ bd. meet, 8, 328
3/15/11, 150, (coach) gift card, 50, 337
05/05/11, 75.00, attend spring cocktail party, 51, 346
11/11/11, 50.00, lunch while judging mock court competition, 52, 346
, , court competition, 52, 346
07/13/11, 100, attend annual judges reception, 53, 346
01/29/11, 54, meals while attending ethics comm., 54, 346
, , ethics comm. meeting, 54, 346
12/09/11, 100, atkno holiday party, 55, 346
8/06/11, 1400, discount on lodging, 56, 347
, , at beach house, 56, 347
7/18/11, 1000, same as above, 56, 347
9/07/11, 150, discount on hotel, 57, 347
, , lodging, 57, 347
9/07/11, 150, discount on hotel, 56, 347
, , lodging, 56, 347
1/07/11, 140, lift tickets, 58, 347
10/14/11, 195, dinner ticket for spouse, 5, 357
1/29/11, 150, dinner including wife, 59, 378
01/01/11, 140.00, dinner with wine for my wife and myself, 60, 379
11/11/11, 75.00, lunch, 60, 379
07/03/11, 150.00, dinner with wine for my wife and myself, 61, 379
05/13/11-05/14/11, 1600.00, meals and lodging at firm retreat (2 nights), 62, 379
11/18/11, 250, north county print, 63, 381
, , by jake early, 63, 381
11/18/11, 250.00, north butte county, 63, 406
, , courthouse print, 63, 406
, , by jake early, 63, 406
11/30/11, 197.00, champagne, 64, 436
, , card, 65, 436
03/19/11, 75.00, dinner, 66, 437
8/2/11, 110.00, pearl earnings4 necklace, 67, 441
2/28/11, 75.00, silver ring, 67, 441
3/17/11, 50.00, dinner at st. patricks day event, 68, 441
1/1/11, 240.00, monthly ed luncheon, 69, 442
1/20/11, 100.00, dinner, 69, 456
7/20/11, 25.00, lunch, 70, 456
8/17/11, 25.00, lunch, 70, 456
9/21/11, 25.00, lunch, 70, 456
1/19/11, 25.00, lunch, 71, 456
2/16/11, 25.00, lunch, 71, 456
3/16/11, 25.00, lunch, 71, 456
10/19/11, 25.00, lunch, 70, 456
11/16/11, 25.00, lunch, 70, 456
4/20/11, 25.00, lunch, 72, 456
5/18/11, 2500, lunch, 72, 456
